record_id,product,district,supplier,stock_date,opening_stock,quantity_received,quantity_dispensed,lead_time_days,stockout_flag
REC7000,Amoxicillin,Madurai,Supplier-B,2025-01-01,87,237,180,5,0
REC7001,ORS Packets,Erode,Supplier-B,2025-01-01,59,55,210,15,0
REC7002,Amoxicillin,Dindigul,Supplier-B,2025-01-01,55,138,86,19,0
REC7003,Paracetamol,Chennai,Supplier-B,2025-01-02,193,17,261,17,0
REC7004,Amoxicillin,Chennai,Supplier-B,2025-01-02,400,29,67,19,1
REC7005,Paracetamol,Coimbatore,Supplier-D,2025-01-02,252,286,170,8,0
REC7006,Metformin,Coimbatore,Supplier-C,2025-01-03,393,10,142,7,0
REC7007,Insulin,Erode,Supplier-B,2025-01-03,154,120,291,15,0
REC7008,Antiseptic,Madurai,Supplier-B,2025-01-04,465,144,328,9,0
REC7009,Insulin,Chennai,Supplier-D,2025-01-04,223,255,189,14,1
REC7010,Amoxicillin,Trichy,Supplier-B,2025-01-04,284,271,327,19,0
REC7011,Iron Tablets,Vellore,Supplier-D,2025-01-05,458,230,239,13,0
REC7012,Cough Syrup,Coimbatore,Supplier-A,2025-01-05,473,18,52,12,0
REC7013,ORS Packets,Madurai,Supplier-B,2025-01-05,294,222,56,8,0
REC7014,Iron Tablets,Chennai,Supplier-C,2025-01-06,294,204,245,8,1
REC7015,Amoxicillin,Trichy,Supplier-A,2025-01-06,99,76,325,6,0
REC7016,Amoxicillin,Salem,Supplier-D,2025-01-07,498,100,32,16,1
REC7017,Paracetamol,Salem,Supplier-B,2025-01-07,395,206,278,3,0
REC7018,Antiseptic,Trichy,Supplier-B,2025-01-07,426,263,45,11,0
REC7019,ORS Packets,Madurai,Supplier-C,2025-01-08,99,87,105,10,0
REC7020,Cough Syrup,Chennai,Supplier-B,2025-01-08,335,81,211,12,0
REC7021,ORS Packets,Trichy,Supplier-D,2025-01-08,249,275,230,10,1
REC7022,Insulin,Vellore,Supplier-B,2025-01-09,386,280,190,3,1
REC7023,Iron Tablets,Salem,Supplier-C,2025-01-09,374,140,100,15,0
REC7024,Metformin,Coimbatore,Supplier-D,2025-01-10,137,116,219,12,0
REC7025,Paracetamol,Madurai,Supplier-D,2025-01-10,439,139,55,12,0
REC7026,Insulin,Madurai,Supplier-A,2025-01-10,240,275,63,12,0
REC7027,Paracetamol,Coimbatore,Supplier-D,2025-01-11,395,204,69,19,0
REC7028,Paracetamol,Salem,Supplier-D,2025-01-11,279,126,70,2,1
REC7029,Insulin,Trichy,Supplier-C,2025-01-11,350,57,197,4,0
REC7030,Amoxicillin,Coimbatore,Supplier-B,2025-01-12,37,164,281,8,0
