transaction_id,account_id,transaction_date,merchant,category,amount,transaction_type,location
TXN20000,ACC1004,2025-01-01 00:00,Fuel Station,Cash,4770.99,Credit,Chennai
TXN20001,ACC1025,2025-01-01 04:00,Grocery Mart,Groceries,2216.49,Debit,Bangalore
TXN20002,ACC1003,2025-01-01 08:00,Grocery Mart,Shopping,1947.74,Credit,Delhi
TXN20003,ACC1019,2025-01-01 12:00,Restaurant,Shopping,259.97,Credit,Hyderabad
TXN20004,ACC1023,2025-01-01 16:00,Fuel Station,Bills,938.45,Credit,Delhi
TXN20005,ACC1039,2025-01-01 20:00,Electronics Hub,Dining,2917.43,Credit,Chennai
TXN20006,ACC1028,2025-01-02 00:00,ATM Withdrawal,Bills,2063.5,Debit,Mumbai
TXN20007,ACC1014,2025-01-02 04:00,Utility Bill,Transfer,4377.0,Debit,Coimbatore
TXN20008,ACC1023,2025-01-02 08:00,Restaurant,Dining,843.17,Debit,Hyderabad
TXN20009,ACC1008,2025-01-02 12:00,Online Transfer,Shopping,653.83,Credit,Mumbai
TXN20010,ACC1025,2025-01-02 16:00,Electronics Hub,Shopping,6387.68,Debit,Chennai
TXN20011,ACC1026,2025-01-02 20:00,Online Transfer,Shopping,3899.93,Debit,Delhi
TXN20012,ACC1008,2025-01-03 00:00,Amazon,Groceries,1633.87,Debit,Coimbatore
TXN20013,ACC1039,2025-01-03 04:00,Restaurant,Electronics,7582.51,Debit,Coimbatore
TXN20014,ACC1038,2025-01-03 08:00,Electronics Hub,Cash,1680.6,Credit,Delhi
TXN20015,ACC1004,2025-01-03 12:00,Amazon,Cash,1363.16,Credit,Bangalore
TXN20016,ACC1007,2025-01-03 16:00,Grocery Mart,Transfer,5071.57,Debit,Bangalore
TXN20017,ACC1000,2025-01-03 20:00,Restaurant,Groceries,2667.11,Debit,Bangalore
TXN20018,ACC1011,2025-01-04 00:00,Fuel Station,Shopping,3271.28,Debit,Chennai
TXN20019,ACC1006,2025-01-04 04:00,Utility Bill,Cash,3731.34,Debit,Delhi
TXN20020,ACC1019,2025-01-04 08:00,Electronics Hub,Cash,2960.74,Debit,Mumbai
TXN20021,ACC1005,2025-01-04 12:00,ATM Withdrawal,Transfer,1547.31,Debit,Hyderabad
TXN20022,ACC1024,2025-01-04 16:00,Amazon,Shopping,1688.62,Debit,Chennai
TXN20023,ACC1000,2025-01-04 20:00,ATM Withdrawal,Bills,373.38,Debit,Coimbatore
TXN20024,ACC1034,2025-01-05 00:00,Electronics Hub,Shopping,2575.23,Debit,Delhi
